# x_m,y_m,w_tr_right_m,w_tr_left_m
8.3400,-0.3000,0.8000,0.8000
8.3400,-0.2000,0.8062,0.8062
8.3400,-0.1000,0.8246,0.8246
8.3400,0.0000,0.8544,0.8544
8.4400,0.0000,0.9434,0.9434
8.5400,0.0000,0.8544,0.8544
8.6400,0.1000,0.7616,0.7616
8.7400,0.1000,0.7211,0.7211
8.8400,0.2000,0.6083,0.6083
8.9400,0.2000,0.5831,0.5831
9.0400,0.3000,0.5000,0.5000
9.1400,0.3000,0.4472,0.4472
8.2400,0.1000,0.8062,0.8062
8.2400,0.2000,0.8062,0.8062
8.1400,0.3000,0.7280,0.7280
8.0400,0.3000,0.7211,0.7211
7.9400,0.4000,0.6708,0.6708
7.8400,0.5000,0.6403,0.6403
7.7400,0.6000,0.6403,0.6403
7.6400,0.7000,0.6403,0.6403
7.5400,0.8000,0.6325,0.6325
7.4400,0.9000,0.5831,0.5831
7.3400,0.9000,0.5831,0.5831
7.2400,1.0000,0.6325,0.6325
7.1400,1.1000,0.5831,0.5831
7.0400,1.2000,0.5657,0.5657
6.9400,1.2000,0.5831,0.5831
6.8400,1.3000,0.6083,0.6083
6.7400,1.3000,0.5657,0.5657
6.6400,1.4000,0.5831,0.5831
6.5400,1.5000,0.5657,0.5657
6.4400,1.6000,0.5657,0.5657
6.3400,1.7000,0.5831,0.5831
6.3400,1.8000,0.5385,0.5385
6.2400,1.9000,0.6083,0.6083
6.2400,2.0000,0.6000,0.6000
6.1400,2.1000,0.7071,0.7071
6.1400,2.2000,0.7280,0.7280
6.1400,2.3000,0.7616,0.7616
6.0400,2.4000,0.8944,0.8944
6.0400,2.5000,0.9434,0.9434
5.9400,2.6000,1.0770,1.0770
5.8400,2.6000,1.0630,1.0630
5.7400,2.5000,0.9434,0.9434
5.9400,2.7000,1.0817,1.0817
6.0400,2.8000,1.0817,1.0817
6.0400,2.9000,1.0770,1.0770
6.1400,3.0000,1.1180,1.1180
6.2400,3.0000,1.0630,1.0630
6.3400,3.0000,1.0000,1.0000
6.4400,3.0000,0.9434,0.9434
6.5400,3.0000,0.8944,0.8944
6.6400,3.0000,0.8544,0.8544
6.7400,2.9000,0.7280,0.7280
6.8400,2.9000,0.7071,0.7071
6.9400,2.9000,0.7000,0.7000
7.0400,2.9000,0.7000,0.7000
7.1400,2.8000,0.6083,0.6083
7.2400,2.8000,0.6325,0.6325
7.3400,2.8000,0.6708,0.6708
7.4400,2.7000,0.6403,0.6403
7.5400,2.7000,0.6708,0.6708
7.6400,2.6000,0.6708,0.6708
7.7400,2.6000,0.6708,0.6708
7.8400,2.5000,0.6708,0.6708
7.9400,2.4000,0.6403,0.6403
8.0400,2.4000,0.6708,0.6708
8.1400,2.3000,0.6708,0.6708
8.2400,2.2000,0.6403,0.6403
8.3400,2.1000,0.6403,0.6403
8.4400,2.0000,0.6325,0.6325
8.5400,2.0000,0.6708,0.6708
8.6400,2.0000,0.6325,0.6325
8.7400,1.9000,0.7071,0.7071
8.8400,1.8000,0.6708,0.6708
8.9400,1.8000,0.7000,0.7000
9.0400,1.8000,0.7000,0.7000
9.1400,1.8000,0.7000,0.7000
9.2400,1.8000,0.7000,0.7000
9.3400,1.8000,0.7000,0.7000
9.4400,1.8000,0.7071,0.7071
9.5400,1.8000,0.7280,0.7280
9.6400,1.7000,0.8000,0.8000
9.7400,1.7000,0.8000,0.8000
9.8400,1.7000,0.8000,0.8000
9.9400,1.7000,0.8000,0.8000
10.0400,1.8000,0.9055,0.9055
10.1400,1.8000,0.9055,0.9055
10.2400,1.9000,0.9849,0.9849
10.3400,1.9000,0.9434,0.9434
10.4400,2.0000,0.9849,0.9849
10.5400,2.1000,1.0440,1.0440
10.5400,2.2000,1.0296,1.0296
10.4400,2.3000,0.8944,0.8944
10.4400,2.4000,0.8544,0.8544
10.4400,2.5000,0.8246,0.8246
10.4400,2.6000,0.8062,0.8062
10.4400,2.7000,0.8000,0.8000
10.4400,2.8000,0.8000,0.8000
10.4400,2.9000,0.8000,0.8000
10.4400,3.0000,0.8000,0.8000
10.4400,3.1000,0.8000,0.8000
10.4400,3.2000,0.8000,0.8000
10.3400,3.3000,0.7000,0.7000
10.3400,3.4000,0.7000,0.7000
10.3400,3.5000,0.7000,0.7000
10.3400,3.6000,0.7000,0.7000
